[2023-01-10 18:37:04.843] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:04.856] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:04.868] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:04.880] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:04.885] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:04.899] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:04.909] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:04.916] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:04.926] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:04.936] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:04.950] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:04.954] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:04.967] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
